Nr,Gebiet,gehört,Wahlberechtigte,,,,Wähler,,,,Ungültige,,,,Gültige,,,,SPD,,,,CDU,,,,FDP,,,,GRÜNE,,,,DIE LINKE,,,,NPD,,,,MLPD,,,,DVU,,,,PIRATEN,,,,RENTNER,,,,ZENTRUM,,,,PARTEILOS,,,,DIE VIOLETTEN,,,,REP,,,,ödp,,,,GRÜNE/GAL,,,,ödp Hamburg,,,,BüSo,,,,DIE LINKE.,,,,Die Tierschutzpartei,,,,RRP,,,,PBC,,,,GRÜNE/B90,,,,FWD,,,,Freie Union,,,,PSG,,,,DKP,,,,FAMILIE,,,,Volksabstimmung,,,,ADM,,,,CSU,,,,BP,,,,CM,,,,
,,zu,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,
,,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,1,"Flensburg - Schleswig",1,225216,,225216,,163329,,163329,,4117,,4181,,159212,,159148,,52139,,41793,,61793,,51068,,15292,,24187,,16399,,21967,,11918,,13481,,1302,,1240,,,,47,,,,159,,,,3385,,,,1821,,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,"Montabaur",13,213225,,213225,,154343,,154343,,3255,,2698,,151088,,151645,,44416,,36122,,65215,,53078,,16541,,28104,,10685,,13047,,11884,,13186,,2347,,1895,,,,31,,,,118,,,,2948,,,,,,,,,,,,,,,,,,,,638,,,,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,,,,,,,,,,,,,,,,,,,,,,,,1627,,,,,,,,,,,,,,,,,,,,,,
206,"Mainz",13,251837,,251837,,191097,,191097,,3627,,2619,,187470,,188478,,57338,,43303,,68081,,61777,,22054,,29045,,23696,,29745,,10737,,13922,,2043,,1153,,,,34,,,,96,,,,4553,,,,,,,,,,,,,,833,,,,,,2265,,2384,,1305,,,,,,,,,,304,,,,,,,,,,,,,,,,,,245,,,,,,,,,,,,,,,,,,,,,,,,1035,,,,,,,,,,,,,,,,,,,,,,
207,"Worms",13,202156,,202156,,147381,,147381,,3191,,2788,,144190,,144593,,54255,,39125,,51892,,46831,,14051,,22748,,10515,,14609,,10218,,12098,,3259,,2284,,,,30,,,,137,,,,2909,,,,,,,,,,,,,,,,,,,,1508,,,,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,421,,,,,,,,,,,,,,,,,,,,,,,,1468,,,,,,,,,,,,,,,,,,,,,,
208,"Ludwigshafen/Frankenthal",13,217445,,217445,,153455,,153455,,3013,,2744,,150442,,150711,,48713,,40325,,57736,,48785,,12878,,22392,,9277,,12919,,13002,,15457,,1807,,1798,,210,,121,,,,158,,3188,,3079,,,,,,,,,,,,,,,,,,3631,,3601,,,,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,,,,,,,,,,,,,,,,,,,,,,,,1443,,,,,,,,,,,,,,,,,,,,,,
209,"Neustadt - Speyer",13,220974,,220974,,164052,,164052,,3870,,2884,,160182,,161168,,40404,,36117,,71481,,57953,,14870,,26988,,13748,,16485,,12546,,13486,,2710,,1935,,,,44,,,,116,,,,3030,,,,,,,,,,1283,,,,,,,,,,1918,,,,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,453,,,,,,,,,,,,,,,,,,,,,,3140,,2217,,,,,,,,,,,,,,,,,,,,,,
210,"Kaiserslautern",13,235030,,235030,,163350,,163350,,4062,,3166,,159288,,160184,,55070,,44362,,52311,,45212,,14725,,22932,,10834,,13936,,22205,,22670,,4143,,3197,,,,55,,,,132,,,,3421,,,,,,,,,,,,,,,,,,,,1373,,,,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,,,,,,,,,,,,,,,,,,,,,,,,2074,,,,,,,,,,,,,,,,,,,,,,
211,"Pirmasens",13,184220,,184220,,131065,,131065,,4156,,3205,,126909,,127860,,34342,,28982,,50035,,44143,,14105,,19605,,8840,,8528,,15989,,16977,,3598,,2533,,,,32,,,,114,,,,2561,,,,,,,,,,,,,,,,,,,,1662,,,,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,387,,,,,,,,,,,,,,,,,,,,,,,,1945,,,,,,,,,,,,,,,,,,,,,,
212,"Südpfalz",13,214215,,214215,,156149,,156149,,3719,,3029,,152430,,153120,,42287,,34790,,61994,,52517,,19431,,26201,,12637,,15635,,10926,,13137,,3230,,2272,,,,59,,,,134,,,,3322,,,,,,,,,,1197,,,,728,,,,,,,,,,1980,,,,609,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,,,,,,,,,,,,,,,,,,,,,,,,1889,,,,,,,,,,,,,,,,,,,,,,
13,"Rheinland-Pfalz",99

213,"Altötting",14,166775,,166775,,112507,,112507,,1738,,1221,,110769,,111286,,16724,,14831,,,,,,9508,,13992,,8477,,8923,,5362,,5641,,2045,,1347,,,,20,,,,63,,,,1896,,,,,,,,,,,,,,,,251,,,,1086,,,,1517,,,,,,,,,,1369,,309,,,,,,,,650,,,,720,,,,99,,,,,,,,,,,,,,,,,,,,,,,,789,,,,,,,,,,67284,,57712,,,,1297,,,,143,,
214,"Erding - Ebersberg",14,185961,,185961,,140360,,140360,,2228,,1157,,138132,,139203,,24402,,19106,,,,,,16433,,22094,,17573,,17458,,6073,,6265,,1837,,1018,,,,35,,,,60,,,,2562,,,,,,,,,,327,,,,,,289,,,,1711,,3969,,2453,,,,,,,,,,,,54,,,,,,,,959,,,,1416,,,,91,,,,,,,,,,,,,,,,,,,,,,,,996,,,,,,,,,,67518,,61088,,,,1434,,,,114,,
215,"Freising",14,205531,,205531,,149717,,149717,,2123,,1198,,147594,,148519,,20791,,19915,,,,,,19711,,21848,,25408,,18400,,8247,,8120,,2558,,1808,,,,31,,,,66,,,,3583,,,,,,,,,,,,,,,,327,,,,900,,,,1878,,,,,,,,,,,,43,,,,,,,,988,,1650,,1581,,,,155,,,,,,,,,,,,,,,,,,,,,,,,1021,,,,,,,,,,69229,,66336,,,,1400,,,,119,,
216,"Fürstenfeldbruck",14,249131,,249131,,190298,,190298,,2171,,1570,,188127,,188728,,35851,,29734,,,,,,20997,,30319,,20344,,23583,,7311,,8969,,2053,,1536,,,,37,,,,105,,,,3649,,,,,,,,,,793,,,,,,417,,,,895,,3197,,1902,,,,,,,,,,,,74,,,,,,,,1350,,2462,,2230,,,,157,,,,,,,,,,,,,,,,,,,,,,,,1086,,,,,,,,,,91947,,80517,,3172,,2027,,,,141,,
217,"Ingolstadt",14,252615,,252615,,176318,,176318,,2441,,1617,,173877,,174701,,26825,,26877,,,,,,14151,,21566,,14174,,14283,,10936,,10717,,3308,,2588,,,,34,,,,86,,,,3448,,,,,,,,,,466,,,,,,228,,,,1269,,3874,,2327,,,,,,,,,,661,,120,,,,,,,,999,,,,592,,,,227,,,,,,,,,,,,,,,,,,,,,,,,1157,,,,,,,,,,99482,,86686,,,,1351,,,,146,,
218,"München-Nord",14,220785,,220785,,158045,,158045,,1459,,1123,,156586,,156922,,55691,,31067,,,,,,15766,,28189,,15307,,27405,,7773,,10705,,1531,,1117,,123,,70,,,,73,,,,4164,,,,,,,,,,1285,,,,,,306,,,,482,,1732,,1283,,,,,,,,,,217,,95,,,,,,,,1019,,,,932,,,,96,,,,,,,,,,,,,,,,,,,,,,,,461,,,,,,,,,,57161,,48622,,,,751,,,,85,,
219,"München-Ost",14,231017,,231017,,170334,,170334,,1469,,1028,,168865,,169306,,44917,,32109,,,,,,24022,,31531,,21722,,27466,,9109,,10996,,1286,,1038,,,,51,,,,74,,,,3715,,,,,,,,,,839,,,,,,352,,,,439,,2147,,1283,,,,,,,,,,221,,127,,,,,,,,1099,,1616,,1358,,,,106,,,,,,,,,,,,,,,,,,,,,,,,546,,,,,,,,,,61412,,55854,,1574,,1079,,,,83,,
220,"München-Süd",14,211617,,211617,,155666,,155666,,1546,,1000,,154120,,154666,,43835,,30403,,,,,,17033,,25600,,20507,,26219,,8266,,10603,,1289,,1073,,,,54,,,,63,,,,3624,,,,,,,,,,617,,,,1167,,,,,,325,,,,503,,2097,,1236,,,,,,,,,,460,,148,,,,,,,,1005,,,,1176,,,,153,,,,,,,,,,,,,,,,,,,,,,,,493,,,,,,,,,,58849,,51064,,,,813,,,,111,,
221,"München-West/Mitte",14,231682,,231682,,173138,,173138,,1561,,1086,,171577,,172052,,47101,,32308,,,,,,20442,,29355,,24967,,33340,,9665,,11587,,1413,,1029,,,,33,,,,69,,,,4045,,,,,,,,,,248,,,,979,,,,652,,,,,,361,,,,498,,2623,,1550,,,,,,,,,,412,,140,,,,,,,,1120,,,,1069,,,,160,,,,,,,,,,,,,,,,,,,,,,,,528,,,,,,,,,,63075,,53814,,,,929,,,,117,,
222,"München-Land",14,233952,,233952,,185115,,185115,,1716,,1110,,183399,,184005,,35805,,30776,,,,,,24634,,36208,,24386,,23433,,6914,,8318,,1480,,1099,,,,20,,,,86,,,,3358,,,,,,,,,,,,,,,,322,,,,775,,2027,,1467,,,,,,,,,,,,57,,,,,,,,1084,,1636,,1434,,,,102,,,,,,,,,,686,,,,,,,,,,,,1975,,1099,,,,,,,,,,83856,,73273,,,,1016,,,,78,,
223,"Rosenheim",14,226483,,226483,,161912,,161912,,2087,,1544,,159825,,160368,,23041,,20380,,,,,,14745,,23226,,19499,,18258,,5967,,7074,,1172,,1186,,,,34,,,,73,,,,2503,,,,,,,,,,,,,,,,455,,3455,,2960,,3905,,2669,,,,,,,,,,375,,193,,,,,,,,966,,1749,,1602,,,,149,,,,,,,,,,,,,,,,,,,,,,,,926,,,,,,,,,,82305,,74860,,3612,,2659,,,,195,,
224,"Starnberg",14,251039,,251039,,190092,,190092,,2523,,1494,,187569,,188598,,29651,,24158,,,,,,27350,,36046,,19809,,23110,,7215,,7705,,2283,,1455,,,,33,,,,106,,,,2724,,,,,,,,,,,,,,,,531,,,,804,,,,1765,,,,,,,,,,,,73,,,,,,,,1214,,,,2081,,,,143,,,,,,,,,,,,,,,,,,,,,,,,946,,,,,,,,,,101261,,83545,,,,1995,,,,164,,
225,"Traunstein",14,205115,,205115,,142584,,142584,,1966,,1402,,140618,,141182,,21406,,17747,,,,,,10142,,18243,,16188,,16341,,6156,,7122,,2063,,1641,,,,16,,,,71,,,,1868,,,,,,,,,,,,,,,,325,,,,1420,,2409,,1927,,,,,,,,,,608,,139,,,,,,,,864,,1296,,1188,,,,245,,,,,,,,,,749,,,,,,,,,,,,,,727,,,,,,,,,,76741,,68886,,2860,,2163,,,,249,,
226,"Weilheim",14,249153,,249153,,183832,,183832,,2439,,1704,,181393,,182128,,25894,,23512,,,,,,19076,,28911,,21516,,20871,,7568,,8897,,1883,,1501,,,,28,,,,91,,,,3098,,,,,,,,,,598,,,,725,,,,,,489,,,,835,,4511,,3277,,,,,,,,,,,,57,,,,,,,,1128,,1921,,1966,,,,219,,,,,,,,,,,,,,,,,,,,,,,,1257,,,,,,,,,,94302,,83058,,3399,,2740,,,,193,,
227,"Deggendorf",14,154767,,154767,,94922,,94922,,1524,,1049,,93398,,93873,,15336,,13611,,,,,,11065,,13485,,6717,,6189,,6851,,7536,,3039,,2190,,,,17,,,,46,,,,1160,,,,,,,,,,,,,,,,187,,,,1449,,,,1178,,,,,,,,,,,,25,,,,,,,,537,,,,514,,,,110,,,,,,,,,,992,,,,,,,,,,,,,,686,,,,,,,,,,49398,,43628,,,,1213,,,,112,,
228,"Landshut",14,246833,,246833,,171065,,171065,,2818,,1584,,168247,,169481,,25337,,23634,,,,,,22940,,24031,,17133,,15002,,9362,,9554,,3295,,2373,,,,28,,,,80,,,,2843,,,,,,,,,,,,,,1176,,710,,,,1373,,4051,,2635,,,,,,,,,,,,41,,,,,,,,1172,,,,705,,,,130,,,,,,,,,,,,,,,,,,,,,,,,1152,,,,,,,,,,84953,,82466,,,,1397,,,,155,,
229,"Passau",14,186068,,186068,,118249,,118249,,1536,,1124,,116713,,117125,,16573,,17773,,,,,,22069,,18202,,8767,,9054,,9217,,9198,,2600,,2077,,,,18,,,,72,,,,1618,,,,,,,,,,,,,,,,226,,,,792,,3212,,2392,,,,,,,,,,,,40,,,,,,,,723,,,,547,,,,100,,,,,,,,,,,,,,,,,,,,,,,,789,,,,,,,,,,54275,,52476,,,,912,,,,116,,
230,"Rottal-Inn",14,162109,,162109,,104487,,104487,,2052,,1227,,102435,,103260,,17920,,14151,,,,,,10305,,14359,,5828,,6786,,4868,,5742,,1743,,1761,,,,20,,,,54,,,,1392,,,,,,,,,,,,,,,,194,,1719,,1388,,4626,,2472,,,,,,,,,,522,,124,,,,,,,,599,,,,486,,,,59,,,,,,,,,,,,,,,,,,,,,,,,674,,,,,,,,,,54904,,51702,,,,1140,,,,157,,
231,"Straubing",14,173068,,173068,,112708,,112708,,1621,,1345,,111087,,111363,,24922,,15817,,,,,,8650,,15232,,4372,,5925,,5410,,7257,,2519,,2085,,,,13,,,,47,,,,1526,,,,,,,,,,602,,,,,,171,,,,1258,,3040,,2831,,,,,,,,,,,,28,,,,,,,,629,,,,534,,,,69,,,,,,,,,,,,,,,,,,,,,,,,772,,,,,,,,,,61572,,55844,,,,1232,,,,93,,
232,"Amberg",14,214616,,214616,,153659,,153659,,3314,,1680,,150345,,151979,,30587,,25606,,,,,,18922,,19418,,13833,,12807,,10544,,10629,,3818,,2839,,,,37,,,,105,,,,3686,,,,,,,,,,,,,,,,213,,,,913,,,,2083,,,,,,,,,,,,62,,,,,,,,965,,1493,,1288,,,,234,,,,,,,,,,,,,,,,,,,,,,,,1284,,,,,,,,,,71148,,68586,,,,1026,,,,198,,
233,"Regensburg",14,243083,,243083,,171002,,171002,,1933,,1455,,169069,,169547,,35207,,29375,,,,,,21618,,22998,,14784,,18343,,10514,,11453,,2753,,2297,,,,40,,,,101,,2903,,3566,,,,,,,,,,,,,,,,430,,,,1100,,4410,,2772,,,,,,,,,,,,68,,,,,,,,1316,,1227,,1171,,,,153,,,,,,,,,,,,,,,,,,,,,,,,1037,,,,,,,,,,75653,,72120,,,,1078,,,,129,,
234,"Schwandorf",14,216044,,216044,,143939,,143939,,2151,,1957,,141788,,141982,,34321,,24828,,,,,,11058,,16553,,6423,,8580,,9396,,11310,,3463,,3020,,,,22,,,,94,,,,2269,,,,,,,,,,556,,,,950,,,,,,191,,,,1185,,2830,,2305,,,,,,,,,,,,49,,,,,,,,966,,,,761,,,,159,,,,,,,,,,,,,,,,,,,,,,,,1225,,,,,,,,,,72791,,66951,,,,1288,,,,226,,
235,"Weiden",14,172011,,172011,,124026,,124026,,1859,,2270,,122167,,121756,,24261,,24467,,,,,,8664,,14272,,6031,,8060,,6567,,9093,,2994,,3071,,,,21,,,,59,,,,2207,,,,,,,,,,17196,,,,,,176,,,,693,,1563,,1565,,,,,,,,,,,,33,,,,,,,,872,,,,642,,,,108,,,,,,,,,,,,,,,,,,,,,,,,1132,,,,,,,,,,54891,,54009,,,,1054,,,,222,,
236,"Bamberg",14,177197,,177197,,129049,,129049,,1563,,1170,,127486,,127879,,26044,,19553,,,,,,13590,,17523,,11726,,13512,,7601,,8316,,1899,,1759,,,,58,,,,55,,,,3041,,,,,,,,,,303,,,,,,244,,2213,,1937,,,,754,,,,,,,,,,,,33,,,,,,,,790,,,,714,,,,188,,,,,,,,,,,,,,,,,,,,,,,,1061,,,,,,,,,,62548,,57433,,1562,,770,,,,138,,
237,"Bayreuth",14,164344,,164344,,117290,,117290,,1654,,974,,115636,,116316,,23920,,22018,,,,,,9898,,16066,,13096,,10937,,6318,,6865,,1701,,1593,,,,20,,,,50,,,,2401,,,,,,,,,,,,,,,,181,,1855,,1520,,,,595,,,,,,,,,,,,30,,,,,,,,690,,,,570,,,,293,,,,,,,,,,,,,,,,,,,,,,,,818,,,,,,,,,,58848,,51124,,,,414,,,,131,,
238,"Coburg",14,162834,,162834,,115851,,115851,,1784,,1272,,114067,,114579,,28882,,26869,,,,,,8805,,13398,,9380,,8707,,7475,,8116,,2775,,2384,,,,35,,,,56,,,,2093,,,,,,,,,,342,,,,,,165,,,,614,,1234,,697,,,,,,,,,,,,25,,,,,,,,597,,,,302,,,,231,,,,,,,,,,,,,,,,,,,,,,,,711,,,,,,,,,,55174,,49248,,,,261,,,,70,,
239,"Hof",14,180735,,180735,,126096,,126096,,2057,,1735,,124039,,124361,,33763,,29265,,,,,,9604,,14036,,9302,,8678,,9994,,10550,,3094,,2458,,,,31,,,,93,,,,2248,,,,,,,,,,650,,,,,,167,,,,916,,,,484,,,,,,,,,,,,49,,,,,,,,1005,,,,612,,,,511,,,,,,,,,,,,,,,,,,,,,,,,999,,,,,,,,,,57632,,51661,,,,487,,,,111,,
240,"Kulmbach",14,173473,,173473,,128501,,128501,,1198,,1384,,127303,,127117,,18717,,21863,,,,,,4885,,14520,,5985,,8731,,6624,,8038,,3027,,2682,,,,25,,,,59,,,,2332,,,,,,,,,,,,,,,,185,,,,1215,,1407,,1091,,,,,,,,,,,,48,,,,,,,,827,,,,659,,,,259,,,,,,,,,,,,,,,,,,,,,,,,1045,,,,,,,,,,86658,,62880,,,,546,,,,112,,
241,"Ansbach",14,243953,,243953,,171989,,171989,,2553,,2119,,169436,,169870,,37133,,32847,,,,,,17346,,23222,,14054,,17294,,9231,,12176,,3835,,3023,,,,37,,,,128,,3248,,3512,,,,,,,,,,692,,,,,,400,,,,1301,,3658,,2662,,,,,,,,,,,,42,,,,,,,,1061,,,,1159,,,,618,,,,,,,,,,,,,,,,,,,,,,,,1520,,,,,,,,,,80239,,68128,,,,553,,,,187,,
242,"Erlangen",14,177261,,177261,,135845,,135845,,1335,,1091,,134510,,134754,,32269,,28248,,,,,,12736,,20048,,15036,,18043,,8275,,8821,,1596,,1362,,,,45,,,,50,,,,4096,,,,,,,,,,281,,,,,,210,,,,596,,1686,,1177,,,,,,,,,,,,37,,,,,,,,794,,,,994,,,,208,,,,,,,,,,,,,,,,,,,,,,1946,,1095,,,,,,,,,,60685,,48552,,,,308,,,,70,,
243,"Fürth",14,249703,,249703,,179941,,179941,,2512,,2030,,177429,,177911,,44505,,37820,,,,,,15361,,24978,,17109,,20314,,13798,,14667,,3551,,2714,,,,66,,,,136,,4166,,5035,,,,,,,,,,,,,,,,364,,,,1251,,,,1610,,,,,,,,,,,,66,,,,,,,,1355,,,,1604,,,,393,,,,,,,,,,2042,,,,,,,,,,,,,,1512,,,,,,,,,,76897,,63392,,,,492,,,,142,,
244,"Nürnberg-Nord",14,189738,,189738,,135154,,135154,,1572,,1190,,133582,,133964,,41246,,29751,,,,,,10652,,18528,,15043,,20934,,10923,,12554,,2320,,1835,,187,,106,,,,79,,4268,,4940,,,,,,,,,,,,,,,,313,,,,611,,,,847,,,,,,,,,,,,52,,,,,,,,1129,,,,1081,,,,168,,,,,,,,,,,,,,,,,,,,,,,,620,,,,,,,,,,48943,,40094,,,,233,,,,89,,
245,"Nürnberg-Süd",14,184672,,184672,,124786,,124786,,1689,,1371,,123097,,123415,,37159,,30766,,,,,,10498,,14592,,10048,,12210,,10794,,11698,,3136,,2548,,,,62,,,,80,,2653,,3220,,,,,,,,,,,,,,,,262,,,,752,,,,753,,,,,,,,,,,,44,,,,,,,,946,,1290,,1500,,,,209,,,,,,,,,,,,,,,,,,,,,,,,776,,,,,,,,,,47519,,42645,,,,267,,,,85,,
246,"Roth",14,224946,,224946,,171076,,171076,,2256,,1692,,168820,,169384,,40464,,36327,,,,,,18809,,23177,,16521,,19517,,9610,,11262,,3289,,2487,,,,28,,,,94,,3205,,3690,,,,,,,,,,,,,,,,361,,,,1474,,,,1065,,,,,,,,,,,,42,,,,,,,,1162,,1642,,1822,,,,359,,,,,,,,,,,,,,,,,,,,,,,,1139,,,,,,,,,,75280,,64763,,,,495,,,,120,,
247,"Aschaffenburg",14,183872,,183872,,135005,,135005,,2840,,2297,,132165,,132708,,25143,,23235,,,,,,15185,,20868,,22717,,15071,,8072,,8828,,2716,,1750,,,,67,,,,60,,,,2828,,,,,,,,,,,,,,,,246,,,,1791,,1841,,979,,,,,,,,,,,,50,,,,,,,,917,,,,1180,,,,99,,,,,,,,,,,,,,,,,,,,,,,,1089,,,,,,,,,,56491,,53201,,,,329,,,,120,,
248,"Bad Kissingen",14,219607,,219607,,162052,,162052,,2659,,1900,,159393,,160152,,28487,,23712,,,,,,13592,,22188,,14723,,12475,,13000,,13717,,3305,,2504,,,,33,,,,70,,,,2807,,,,,,,,,,712,,,,,,264,,,,1580,,,,1242,,,,,,,,,,,,56,,,,,,,,804,,,,703,,,,259,,,,,,,,,,,,,,,,,,,,,,,,1339,,,,,,,,,,85574,,75708,,,,495,,,,196,,
249,"Main-Spessart",14,199081,,199081,,147482,,147482,,3186,,2289,,144296,,145193,,28659,,25872,,,,,,12858,,20360,,13649,,14285,,8817,,9346,,1620,,1575,,,,46,,,,59,,,,2888,,,,,,,,,,,,,,,,307,,2230,,1826,,,,1087,,,,,,,,,,,,47,,,,,,,,1067,,,,986,,921,,232,,,,,,,,,,,,,,,,,,,,,,,,1205,,,,,,,,,,75542,,63513,,,,379,,,,113,,
250,"Schweinfurt",14,200116,,200116,,146050,,146050,,3121,,1867,,142929,,144183,,27794,,24747,,,,,,13713,,18742,,14598,,13182,,14803,,13317,,3029,,1829,,,,62,,,,57,,,,3076,,,,,,,,,,526,,,,,,242,,,,1790,,,,990,,,,,,,,,,,,40,,,,,,,,771,,,,765,,,,277,,,,,,,,,,,,,,,,,,,,,,,,1090,,,,,,,,,,66253,,62265,,2213,,784,,,,157,,
251,"Würzburg",14,225807,,225807,,170031,,170031,,2185,,1569,,167846,,168462,,39055,,31440,,,,,,17030,,23203,,21914,,24341,,9334,,10582,,2312,,1287,,,,36,,,,39,,3659,,4262,,,,,,,,,,742,,,,,,260,,,,2462,,,,1422,,,,,,,,,,,,59,,,,,,,,1103,,,,836,,,,250,,,,,,,,,,,,,,,,,,,,,,,,1011,,,,,,,,,,73800,,65294,,,,428,,,,147,,
252,"Augsburg-Stadt",14,206196,,206196,,135957,,135957,,1789,,1748,,134168,,134209,,26268,,24981,,,,,,14638,,17645,,19708,,16898,,9318,,10552,,2038,,1602,,230,,113,,,,88,,,,4166,,,,,,,,,,846,,,,,,307,,,,899,,1621,,1073,,,,,,,,,,177,,89,,,,,,,,965,,1658,,1513,,,,136,,,,,,,,,,,,,,,,,,,,,,,,665,,,,,,,,,,56644,,51728,,1022,,674,,,,115,,
253,"Augsburg-Land",14,240672,,240672,,177024,,177024,,2484,,1754,,174540,,175270,,27427,,25356,,,,,,20137,,27522,,15031,,16430,,8264,,9425,,2834,,2168,,,,46,,,,110,,,,3399,,,,,,,,,,,,,,,,405,,,,1777,,2804,,1790,,,,,,,,,,444,,122,,,,,,,,1208,,2539,,1990,,,,200,,,,,,,,,,,,,,,,,,,,,,,,1187,,,,,,,,,,92508,,80335,,2552,,1609,,,,191,,
254,"Donau-Ries",14,189097,,189097,,133619,,133619,,2191,,1497,,131428,,132122,,20901,,18290,,,,,,15337,,19314,,9962,,10139,,8025,,7605,,2549,,1919,,,,30,,,,63,,,,2170,,,,,,,,,,297,,,,888,,495,,,,1725,,1982,,1367,,,,,,,,,,,,41,,,,,,,,703,,,,751,,,,172,,,,,,,,,,,,,,,,,,,,,,,,1077,,,,,,,,,,69102,,64647,,2385,,1432,,,,182,,
255,"Neu-Ulm",14,235775,,235775,,164678,,164678,,2832,,1790,,161846,,162888,,24977,,23937,,,,,,18406,,26391,,17398,,14310,,10245,,10341,,4483,,3499,,,,36,,,,131,,,,3496,,,,,,,,,,,,,,,,331,,,,1013,,4291,,2387,,,,,,,,,,,,96,,,,,,,,1040,,,,938,,,,344,,,,,,,,,,,,,,,,,,,,,,,,1283,,,,,,,,,,82046,,72060,,,,1005,,,,250,,
256,"Oberallgäu",14,221708,,221708,,158857,,158857,,2008,,1618,,156849,,157239,,19107,,20392,,,,,,17464,,26018,,20093,,17753,,7842,,8735,,1314,,1202,,,,41,,,,71,,,,2635,,,,,,,,,,,,,,,,353,,2092,,1800,,3150,,2299,,,,,,,,,,,,53,,,,,,,,1039,,,,983,,,,242,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,83181,,70559,,2606,,1507,,,,357,,
257,"Ostallgäu",14,242341,,242341,,170224,,170224,,2992,,2194,,167232,,168030,,22859,,20544,,,,,,21115,,28362,,15030,,15668,,8822,,9369,,2814,,2262,,,,34,,,,119,,,,2951,,,,,,,,,,263,,,,1125,,,,,,334,,,,1010,,3671,,2728,,,,,,,,,,,,85,,,,,,,,1018,,,,803,,,,390,,,,,,,,,,737,,,,,,,,,,,,,,1196,,,,,,,,,,85429,,77911,,5367,,2849,,,,397,,
14,"Bayern",99

258,"Stuttgart I",15,184454,,184454,,142504,,142504,,1527,,1120,,140977,,141384,,25364,,26656,,48518,,39482,,14514,,27557,,42116,,31076,,6601,,9439,,1068,,691,,,,144,,,,60,,2350,,3426,,,,,,,,,,,,,,,,361,,,,758,,,,494,,,,,,,,,,446,,150,,,,,,,,667,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,30,,,,,,,,,,,,,,
259,"Stuttgart II",15,181088,,181088,,129259,,129259,,1789,,1539,,127470,,127720,,33525,,26675,,44002,,37151,,13327,,22059,,21453,,22916,,10902,,11437,,1673,,999,,322,,253,,,,62,,1893,,2616,,,,,,,,,,,,,,,,336,,,,1365,,,,444,,,,,,,,,,373,,128,,,,,,,,756,,,,,,,,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,,,,43,,,,,,,,,,,,,,
260,"Böblingen",15,244919,,244919,,185176,,185176,,2730,,2507,,182446,,182669,,36550,,34915,,82344,,61918,,23717,,38125,,24138,,25364,,9657,,11118,,2914,,2265,,328,,197,,,,88,,2798,,3861,,,,,,,,,,,,,,,,356,,,,1273,,,,552,,,,,,,,,,,,68,,,,,,,,1089,,,,,,,,1085,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,,,,49,,,,,,,,,,,,,,
